2,2,12,2,13,3,14,1,7,2,0.535
5,4,2,4,3,3,4,4,4,2,0.006
14,4,6,3,8,3,3,2,13,4,0.526
4,4,11,4,13,3,4,3,6,4,0.745
4,4,12,2,2,3,9,3,14,1,0.408
6,1,8,4,11,3,11,4,11,2,0.268
5,4,12,4,4,1,9,2,4,2,0.399
14,3,14,2,8,1,3,3,5,3,0.967
12,1,13,3,11,3,11,2,7,3,0.631
4,4,7,3,10,4,13,2,6,3,0.101
8,4,11,1,6,1,8,1,12,2,0.819
9,3,2,3,6,1,5,4,10,3,0.13
7,4,6,1,12,4,5,1,4,2,0.067
13,3,6,1,7,3,7,1,11,3,0.554
9,4,11,4,13,2,10,1,11,3,0.812
2,4,12,1,10,2,10,4,3,2,0.38
7,3,2,2,13,4,8,4,7,4,0.628
7,3,12,2,7,1,10,4,4,2,0.806
11,1,12,1,7,2,13,4,2,3,0.496
8,1,6,4,4,4,14,4,9,2,0.177
13,4,10,4,5,4,11,2,4,4,0.478
10,3,12,1,2,1,8,4,14,2,0.469
8,4,11,2,12,1,4,3,10,3,0.387
2,1,2,3,7,4,10,3,13,4,0.591
6,2,7,2,8,1,11,1,9,1,0.181
11,1,10,1,3,4,5,1,10,3,0.944
5,2,3,4,8,4,3,3,8,2,0.792
7,2,7,1,10,3,14,4,4,4,0.74
2,2,9,3,12,3,7,4,9,2,0.784
5,4,2,2,3,4,13,1,10,2,0.021
12,2,7,2,11,4,12,1,7,1,0.991
9,2,4,4,11,2,13,4,9,4,0.659
6,4,13,1,5,2,9,2,7,1,0.413
6,1,5,4,4,2,9,4,9,1,0.061
4,1,3,4,6,2,6,1,2,3,0.007
14,3,3,2,7,2,6,3,2,3,0.5
6,4,13,4,11,1,11,4,6,1,0.887
14,3,3,3,10,2,2,4,9,3,0.503
12,3,2,2,11,2,14,3,8,3,0.425
2,3,5,4,8,2,5,1,5,2,0.955
2,4,7,4,12,3,7,1,10,2,0.646
7,2,2,3,11,3,10,2,5,3,0.084
3,4,10,3,7,3,6,2,7,4,0.216
4,2,5,4,2,3,13,4,9,1,0.036
13,1,3,4,6,4,11,3,2,1,0.391
8,2,7,2,14,1,10,1,6,1,0.191
11,4,3,1,11,1,9,4,6,3,0.88
8,2,2,1,11,3,9,1,3,3,0.135
5,4,7,1,6,3,11,1,5,3,0.673
7,3,13,1,11,4,4,3,8,1,0.469
4,4,6,2,14,2,8,2,12,4,0.114
5,2,10,4,13,1,3,2,4,2,0.225
11,1,6,4,13,2,10,4,2,2,0.34
7,4,6,2,3,2,11,2,2,4,0.07
2,3,11,2,3,2,8,4,13,1,0.3
9,4,4,3,3,1,10,4,13,3,0.202
9,2,10,4,14,1,13,3,5,2,0.36
11,1,5,4,12,3,10,2,3,4,0.329
8,1,8,3,2,2,3,2,5,4,0.928
12,2,9,1,8,3,2,4,14,1,0.451
7,4,3,3,11,2,13,3,9,1,0.142
13,2,9,3,8,1,3,1,6,4,0.454
14,1,5,3,6,1,14,4,14,2,0.967
9,1,4,4,7,4,14,2,6,3,0.153
13,2,2,3,4,2,6,3,12,2,0.428
12,2,2,3,3,4,5,1,6,3,0.285
13,3,10,2,4,4,5,1,6,1,0.377
3,2,4,3,8,1,11,3,5,1,0.026
6,1,4,2,2,3,11,2,11,3,0.062
6,2,14,2,12,3,8,1,12,1,0.655
7,1,10,2,10,3,13,2,6,1,0.824
2,4,6,1,5,3,2,2,4,3,0.647
11,4,6,2,4,2,9,1,8,4,0.243
2,3,7,1,7,2,12,3,11,2,0.649
11,3,7,1,7,2,10,3,9,4,0.679
8,4,8,1,5,4,3,4,10,4,0.797
4,3,6,1,4,2,10,1,10,3,0.8
8,3,6,2,3,3,8,1,14,4,0.811
5,2,12,1,2,2,12,4,13,1,0.788
11,1,3,3,5,3,10,3,2,4,0.208
2,4,10,2,11,1,3,1,12,3,0.322
14,3,6,2,13,1,8,4,7,1,0.531
9,2,2,2,5,3,10,4,4,2,0.134
7,3,3,2,10,3,2,2,8,2,0.093
8,2,6,2,12,4,9,1,8,4,0.698
7,2,11,3,8,2,11,1,13,2,0.834
4,2,10,2,2,2,4,1,12,4,0.786
6,4,10,3,7,1,9,1,8,1,0.934
9,2,11,2,10,4,14,1,2,3,0.34
6,1,7,4,12,2,14,1,3,3,0.122
8,4,8,3,13,3,5,1,7,4,0.846
5,3,10,1,7,3,6,4,14,3,0.238
12,2,8,1,9,4,13,2,6,3,0.468
4,2,4,3,2,2,8,4,9,3,0.7
2,4,12,2,9,2,5,3,7,3,0.27
5,3,4,2,13,2,12,1,12,2,0.065
10,1,4,1,13,2,13,3,7,4,0.317
12,4,12,1,9,1,4,2,9,3,0.885
12,2,14,1,3,3,14,2,4,2,0.966
11,3,14,3,8,4,13,4,3,1,0.591
7,4,2,3,8,2,4,2,9,4,0.088
14,1,5,4,7,4,12,2,3,1,0.533
12,4,13,1,7,1,4,1,12,1,0.932
13,2,8,1,13,1,6,4,5,1,0.945
3,1,10,3,12,1,6,4,10,2,0.8
6,3,4,3,11,1,14,4,4,2,0.668
5,3,4,3,9,2,4,2,7,3,0.677
8,1,10,1,5,2,11,2,14,4,0.35
9,2,14,1,6,1,12,4,10,2,0.569
4,1,9,1,13,4,4,4,6,4,0.638
10,2,2,4,10,3,4,4,11,4,0.763
14,2,12,4,8,1,3,1,2,3,0.583
3,1,3,4,9,2,6,2,5,4,0.586
14,3,2,2,10,2,6,1,2,4,0.72
11,3,10,1,8,4,6,2,2,1,0.249
9,4,2,1,8,3,7,3,10,2,0.15
7,1,12,2,2,4,9,1,6,3,0.349
10,1,9,2,4,2,6,1,7,4,0.143
6,4,7,3,14,4,7,4,3,1,0.749
7,4,3,2,12,3,11,3,11,4,0.142
4,2,2,3,8,4,4,3,3,1,0.741
2,2,12,4,2,1,6,4,9,4,0.684
7,4,6,1,6,3,9,2,8,2,0.696
4,1,13,1,8,2,14,3,3,2,0.526
3,2,8,1,6,1,12,1,2,1,0.074
14,1,13,4,6,1,14,2,11,1,0.968
14,3,5,2,3,3,2,2,6,3,0.495
6,3,6,4,11,4,3,2,12,4,0.732
13,2,6,4,11,1,10,1,4,2,0.407
11,1,9,1,14,2,8,1,2,1,0.354
6,1,12,2,5,2,12,1,5,1,0.85
12,2,3,1,8,1,14,2,7,1,0.401
13,4,6,3,6,4,12,3,5,4,0.829
14,3,11,2,4,3,4,1,11,3,0.892
10,1,12,2,9,4,4,4,5,4,0.341
7,4,12,1,2,3,3,3,11,1,0.344
4,2,4,3,4,1,14,1,13,1,0.95
10,3,11,3,9,1,6,4,5,1,0.249
8,4,9,3,12,2,9,1,7,4,0.809
2,1,12,3,13,3,7,3,3,3,0.37
8,2,6,3,7,1,3,2,7,4,0.123
4,3,5,3,3,1,13,2,9,4,0.031
2,3,9,1,12,3,8,4,13,3,0.217
7,2,3,2,9,3,3,3,12,3,0.617
7,4,10,4,8,4,7,2,10,2,0.952
8,1,14,1,10,1,6,3,14,2,0.94
4,4,10,4,12,2,13,4,7,1,0.321
11,2,7,2,7,3,4,3,14,1,0.835
10,2,8,2,3,1,4,2,6,1,0.162
5,3,10,4,9,3,10,2,9,1,0.816
9,2,4,4,11,4,4,1,3,1,0.801
5,2,13,1,2,1,2,4,11,1,0.538
11,1,14,3,12,3,7,4,4,1,0.59
10,4,3,3,5,4,11,4,12,3,0.312
2,3,12,3,10,4,14,2,9,2,0.397
11,1,12,1,12,3,7,3,2,4,0.941
8,4,4,4,12,2,9,2,13,2,0.2
5,1,6,3,7,2,6,2,5,3,0.934
8,3,5,4,14,2,5,1,3,3,0.805
6,2,5,3,14,3,10,3,10,1,0.13
13,1,9,3,7,1,3,3,3,1,0.567
6,3,8,1,3,1,10,2,14,2,0.187
7,3,4,3,7,2,8,3,4,4,0.971
13,4,14,3,5,2,10,1,6,3,0.609
9,1,7,2,2,2,10,1,8,4,0.195
12,2,6,1,7,1,8,4,12,3,0.936
2,3,2,2,2,4,4,1,3,2,0.982
13,4,5,1,13,2,5,2,3,3,0.992
13,3,3,3,9,2,8,1,12,4,0.392
12,1,12,3,2,1,6,4,4,3,0.945
5,3,8,2,12,1,4,4,14,1,0.176
10,3,3,1,6,2,12,3,2,3,0.186
7,3,14,1,6,4,10,4,14,2,0.957
13,3,12,1,4,4,2,4,7,2,0.481
10,4,14,4,4,4,7,4,11,1,0.572
8,2,2,4,5,1,12,2,9,1,0.137
